Date,CIEN
2010-12-31,21.049999237060547
2011-01-03,21.709999084472656
2011-01-04,22.479999542236328
2011-01-05,22.93000030517578
2011-01-06,23.989999771118164
2011-01-07,23.81999969482422
2011-01-10,24.81999969482422
2011-01-11,24.729999542236328
2011-01-12,24.989999771118164
2011-01-13,25.049999237060547
2011-01-14,25.329999923706055
2011-01-18,25.489999771118164
2011-01-19,24.81999969482422
2011-01-20,24.100000381469727
2011-01-21,23.600000381469727
2011-01-24,24.729999542236328
2011-01-25,24.190000534057617
2011-01-26,23.309999465942383
2011-01-27,23.649999618530273
2011-01-28,23.5
2011-01-31,22.030000686645508
2011-02-01,23.049999237060547
2011-02-02,23.309999465942383
2011-02-03,23.549999237060547
2011-02-04,26.899999618530273
2011-02-07,26.719999313354492
2011-02-08,26.8799991607666
2011-02-09,26.639999389648438
2011-02-10,27.350000381469727
2011-02-11,27.84000015258789
2011-02-14,28.1299991607666
2011-02-15,27.25
2011-02-16,27.729999542236328
2011-02-17,27.739999771118164
2011-02-18,27.690000534057617
2011-02-22,26.149999618530273
2011-02-23,25.559999465942383
2011-02-24,26.559999465942383
2011-02-25,27.56999969482422
2011-02-28,27.56999969482422
2011-03-01,26.34000015258789
2011-03-02,27.440000534057617
2011-03-03,28.709999084472656
2011-03-04,28.809999465942383
2011-03-07,25.979999542236328
2011-03-08,25.68000030517578
2011-03-09,24.329999923706055
2011-03-10,23.6299991607666
2011-03-11,24.93000030517578
2011-03-14,24.65999984741211
2011-03-15,24.65999984741211
2011-03-16,25.06999969482422
2011-03-17,24.739999771118164
2011-03-18,23.100000381469727
2011-03-21,24.020000457763672
2011-03-22,22.31999969482422
2011-03-23,22.889999389648438
2011-03-24,24.25
2011-03-25,24.0
2011-03-28,23.399999618530273
2011-03-29,24.34000015258789
2011-03-30,25.579999923706055
2011-03-31,25.940000534057617
2011-04-01,25.350000381469727
2011-04-04,25.06999969482422
2011-04-05,26.549999237060547
2011-04-06,26.649999618530273
2011-04-07,26.239999771118164
2011-04-08,26.139999389648438
2011-04-11,25.309999465942383
2011-04-12,25.399999618530273
2011-04-13,26.540000915527344
2011-04-14,26.700000762939453
2011-04-15,26.40999984741211
2011-04-18,25.780000686645508
2011-04-19,25.899999618530273
2011-04-20,26.799999237060547
2011-04-21,27.520000457763672
2011-04-25,27.459999084472656
2011-04-26,27.639999389648438
2011-04-27,27.799999237060547
2011-04-28,27.799999237060547
2011-04-29,28.239999771118164
2011-05-02,27.6200008392334
2011-05-03,27.6200008392334
2011-05-04,27.139999389648438
2011-05-05,27.479999542236328
2011-05-06,27.059999465942383
2011-05-09,26.920000076293945
2011-05-10,27.90999984741211
2011-05-11,27.360000610351562
2011-05-12,27.309999465942383
2011-05-13,27.0
2011-05-16,26.040000915527344
2011-05-17,25.549999237060547
2011-05-18,25.65999984741211
2011-05-19,26.200000762939453
2011-05-20,26.260000228881836
2011-05-23,25.739999771118164
2011-05-24,25.219999313354492
2011-05-25,26.020000457763672
2011-05-26,25.969999313354492
2011-05-27,26.520000457763672
2011-05-31,26.75
2011-06-01,25.479999542236328
2011-06-02,25.719999313354492
2011-06-03,24.829999923706055
2011-06-06,24.079999923706055
2011-06-07,24.209999084472656
2011-06-08,20.290000915527344
2011-06-09,19.0
2011-06-10,19.040000915527344
2011-06-13,18.510000228881836
2011-06-14,18.860000610351562
2011-06-15,18.110000610351562
2011-06-16,17.260000228881836
2011-06-17,16.729999542236328
2011-06-20,16.959999084472656
2011-06-21,17.59000015258789
2011-06-22,17.989999771118164
2011-06-23,18.559999465942383
2011-06-24,17.760000228881836
2011-06-27,17.81999969482422
2011-06-28,18.09000015258789
2011-06-29,18.3700008392334
2011-06-30,18.3799991607666
2011-07-01,18.649999618530273
2011-07-05,17.950000762939453
2011-07-06,17.530000686645508
2011-07-07,17.940000534057617
2011-07-08,17.510000228881836
2011-07-11,17.020000457763672
2011-07-12,16.700000762939453
2011-07-13,16.540000915527344
2011-07-14,15.9399995803833
2011-07-15,16.270000457763672
2011-07-18,15.609999656677246
2011-07-19,16.270000457763672
2011-07-20,16.549999237060547
2011-07-21,16.850000381469727
2011-07-22,17.65999984741211
2011-07-25,17.469999313354492
2011-07-26,17.579999923706055
2011-07-27,15.6899995803833
2011-07-28,15.5600004196167
2011-07-29,15.460000038146973
2011-08-01,14.819999694824219
2011-08-02,14.029999732971191
2011-08-03,14.529999732971191
2011-08-04,13.399999618530273
2011-08-05,12.75
2011-08-08,11.100000381469727
